user_id|full_name|document_id|email|phone|country|segment|registration_date
USR-005515|Noelia Salma Benavides Correa|01179531|noelia.salma.benavid8@gmail.com|+51967370072|MX|premium|2022-07-22
USR-004103|Liliana Matías|94630941|liliana.matías27@yahoo.com|+51905754125|PE|premium|24/12/2020
USR-005315|Camilo Hurtado|97106246|camilo.hurtado95@gmail.com|+51959491677|CO|nuevo|31/12/2022
USR-001058|Lic. Claudia Maya|69621276|lic..claudia.maya67@gmail.com|51-963-625-258|Peru|VIP|2022-12-30
USR-000754|David Rendón Cabrera|68802210|david.rendón.cabrera83@outlook.com|51-945-775-559|MX|estandar|26/07/2022
USR-003954|Clemente Díaz Quintero|89809368|clemente.díaz.quinte40@hotmail.com|(51)900641519|AR|estandar|2021-06-07
USR-003816|Lucía Roldán|04797656|lucía.roldán13@hotmail.com|+51985381192|CO|estandar|2023-12-21
USR-003552|Claudia Ilse Pedroza|16861970|claudia.ilse.pedroza97@yahoo.com|(51)930846264|CL|premium|17/12/2021
USR-002152|Rafaél Hernán Cortez Saiz|91128212|rafaél.hernán.cortez16@hotmail.com|+51902036082|CO||2023-12-23
USR-002182|Alvaro Rosario|600740916|alvaro.rosario29@yahoo.com|969672633|Argentina|estandar|2020-03-19
USR-005469|Rodrigo Castañeda|54984393|rodrigo.castañeda40@outlook.com|51-962-080-637|MX|nuevo|2023-08-21
USR-000003|Elsa Débora Cisneros Villa|478158069|elsa.débora.cisneros29@hotmail.com|(51)954041954|CL||12/03/2020
USR-004310|Alfredo Farías|56405367|alfredo.farías61@outlook.com|916029503|EC|estandar|15/01/2023
USR-003319|Ing. Genaro Bétancourt|06873735|ing..genaro.bétancou46@hotmail.com|961353342|CO|estandar|31/03/2023
USR-005650|Micaela Conchita Mayorga Colunga|34448054|micaela.conchita.may32@outlook.com|+51993950950|COL|estandar |2020-04-20
USR-003762|Dr. Roberto Rendón|42420700|dr..roberto.rendón70@yahoo.com|918294234|CL|estandar|2023-05-13
USR-005845|Santiago Gustavo Montenegro Bustamante|53143266|santiago.gustavo.mon85@hotmail.com|+51903160907|PE|premium|2021-06-17
USR-002404|Guillermo Montañez Fuentes|16807731|guillermo.montañez.f79@outlook.com|+51930818074|AR|premium|19/12/2022
USR-000752|Reynaldo Mena|37824220|reynaldo.mena37@hotmail.com|(51)986480086|AR|estandar|20/12/2021
USR-002566|Guillermo Mauricio Alcántar|911288998|guillermo.mauricio.a57@outlook.com|51-940-757-832|PE|estandar|2023-07-17
USR-004411|Arturo Marcos Treviño Quintana|11626701|arturo.marcos.treviñ89@hotmail.com|956796944|peru|nuevo|2023-07-12
USR-000927|Ing. Gilberto Niño|45049955|ing..gilberto.niño53@yahoo.com|+51930387574|MX|premium|2021-07-03
USR-001498|Rodolfo Luis Miguel Muñoz|50171717|rodolfo.luis.miguel.40@yahoo.com|+51966980473|CL|NUEVO|02/10/2020
USR-003370|Leonardo Humberto Montemayor Rivera|22798706|leonardo.humberto.mo45@gmail.com|+51903395029|PE|nuevo|2020-03-10
USR-004334|Juan Carlos Carlos Hidalgo|02825542|juan.carlos.carlos.h46@yahoo.com|51-915-936-114|MX|estandar|2023-05-10
USR-002755||26288857|99@yahoo.com|(51)908973358|Peru|estandar|30/09/2020
USR-004844|Olivia Ana Lerma Mena|86154666|olivia.ana.lerma.men33@gmail.com|51-958-100-581|CO|estandar|2022-07-07
USR-003404|Augusto Quintana|20710260|augusto.quintana74@yahoo.com|(51)956649297|CO|estandar|27/10/2021
USR-002812|Helena Rosario|33738525|helena.rosario76@yahoo.com|(51)959820013|CL|premium|2022-01-23
USR-005792|Cecilia Guardado Patiño|72152334|cecilia.guardado.pat91@hotmail.com||CL|estandar|20/05/2023
USR-003882|Noelia Villalobos Villaseñor|84411229|noelia.villalobos.vi64@hotmail.com|51-929-649-456|MX|estandar|09/04/2020
USR-000771|José Carlos Enrique Valdés|12702765|josé.carlos.enrique.39@outlook.com|(51)902849739|CL|premium|10/03/2020
